# FINAL THESIS EXPERIMENTAL EVIDENCE. Tier-2 live software-based testbed: real 5G NAS/NGAP/GTP-U via Open5GS and UERANSIM, and a real IEEE 802.11 association and EAP-TLS exchange via mac80211_hwsim, over simulated radios. Not an RF, propagation, interference, channel-quality, spectrum-coexistence or physical-handover measurement. Generated from results/final/raw/; no value was typed by hand.
device_count,strategy,seed,decision_latency_ms_median,decision_latency_ms_p95,engine_time_us_median,nr_context_ms_median,wlan_context_ms_median,transition_ms_median,app_recovery_ms_median,reauthentications,step_ups,state_changes,messages,bytes,app_operations,cpu_seconds,cpu_percent,memory_mib_peak,wall_seconds,false_acceptance_rate,false_rejection_rate
1,static_continuity,20260927,0.178593,0.2238108,,0.032873,0.03389,,,0,0,0,0,0,0,0.02,140.154,59.33984375,0.01427,,0.0
1,static_continuity,20260928,0.1664405,0.21354785,,0.029352,0.028377,,,0,0,0,0,0,0,0.01,69.252,59.33984375,0.01444,,0.0
1,static_continuity,20260929,0.1731645,0.23281244999999998,,0.030455,0.023117,,,0,0,0,0,0,0,0.02,139.782,59.33984375,0.014308,,0.0
1,static_continuity,20260930,0.1666955,0.22151405,,0.028121,0.0302,,,0,0,0,0,0,0,0.01,68.629,59.33984375,0.014571,,0.0
1,static_continuity,20260931,0.156603,0.20273249999999998,,0.027385,0.025606,,,0,0,0,0,0,0,0.01,60.798,59.33984375,0.016448,,0.0
1,static_continuity,20260932,0.1707815,0.22365425000000003,,0.0284,0.029162,,,0,0,0,0,0,0,0.01,57.991,59.33984375,0.017244,,0.0
1,static_continuity,20260933,0.181109,0.23965669999999997,,0.03314,0.026072,,,0,0,0,0,0,0,0.01,66.107,59.33984375,0.015127,,0.0
1,static_continuity,20260934,0.1719245,0.21912095,,0.029966,0.032506,,,0,0,0,0,0,0,0.01,66.225,59.33984375,0.0151,,0.0
1,static_continuity,20260935,0.20292749999999998,0.26884664999999996,,0.039066,0.039447,,,0,0,0,0,0,0,0.01,75.529,59.33984375,0.01324,,0.0
1,static_continuity,20260936,0.179839,0.2197603,,0.030813,0.042875,,,0,0,0,0,0,0,0.02,146.681,59.33984375,0.013635,,0.0
5,ca_ztcf,20260907,0.429891,0.52512025,3.9225000000000003,0.018263,0.022902,,,0,0,5,0,0,0,0.02,81.559,59.3359375,0.024522,,0.0
5,ca_ztcf,20260908,0.4604475,0.5176698,4.197,0.024209,0.018642,,,0,0,5,0,0,0,0.02,92.67,59.3359375,0.021582,,0.0
5,ca_ztcf,20260909,0.45711650000000004,0.49422984999999997,4.176,0.018052,0.021595,,,0,0,5,0,0,0,0.02,83.616,59.3515625,0.023919,,0.0
5,ca_ztcf,20260910,0.43718749999999995,0.52774835,4.049,0.022354,0.017461,,,0,0,5,0,0,0,0.02,86.911,59.3515625,0.023012,,0.0
5,ca_ztcf,20260911,0.548303,0.8453227999999999,4.8925,0.024927,0.03661,,,0,0,5,0,0,0,0.03,113.396,59.3515625,0.026456,,0.0
5,ca_ztcf,20260912,0.4517565,0.51225445,4.2745,0.016636,0.024764,,,0,0,5,0,0,0,0.01,41.708,59.3515625,0.023976,,0.0
5,ca_ztcf,20260913,0.4468715,0.50710315,4.233,0.016846,0.028429,,,0,0,5,0,0,0,0.01,48.607,59.3515625,0.020573,,0.0
5,ca_ztcf,20260914,0.45070350000000003,0.5382144499999999,4.1905,0.019542,0.018995,,,0,0,5,0,0,0,0.01,44.383,59.3515625,0.022531,,0.0
5,ca_ztcf,20260915,0.455063,0.5700836499999999,4.2955000000000005,0.028007,0.019584,,,0,0,5,0,0,0,0.02,93.967,59.3515625,0.021284,,0.0
5,ca_ztcf,20260916,0.482438,0.5180783499999999,4.275,0.025101,0.019205,,,0,0,5,0,0,0,0.02,91.567,59.3515625,0.021842,,0.0
5,ca_ztcf,20260917,0.4360475,0.5346681499999999,4.169499999999999,0.018446,0.024638,,,0,0,5,0,0,0,0.02,102.176,59.3515625,0.019574,,0.0
5,ca_ztcf,20260918,0.468919,0.52338345,4.317,0.018321,0.022111,,,0,0,5,0,0,0,0.02,82.549,59.3515625,0.024228,,0.0
5,ca_ztcf,20260919,0.4567135,0.5303861999999999,4.269500000000001,0.01775,0.01998,,,0,0,5,0,0,0,0.01,43.838,59.3515625,0.022811,,0.0
5,ca_ztcf,20260920,0.44682849999999996,0.5315926499999999,4.122,0.018171,0.01754,,,0,0,5,0,0,0,0.01,46.125,59.3515625,0.02168,,0.0
5,ca_ztcf,20260921,0.478628,0.5574659,4.3325,0.021578,0.019306,,,0,0,5,0,0,0,0.02,98.319,59.3515625,0.020342,,0.0
5,ca_ztcf,20260922,0.4591535,0.5093865,4.206,0.018508,0.022251,,,0,0,5,0,0,0,0.02,85.877,59.36328125,0.023289,,0.0
5,ca_ztcf,20260923,0.44426299999999996,0.5158007499999999,4.269,0.01876,0.020443,,,0,0,5,0,0,0,0.02,84.342,59.36328125,0.023713,,0.0
5,ca_ztcf,20260924,0.45446299999999995,0.5115375,4.164,0.016362,0.020905,,,0,0,5,0,0,0,0.02,88.195,59.36328125,0.022677,,0.0
5,ca_ztcf,20260925,0.4771555,0.52139495,4.1645,0.024648,0.019264,,,0,0,5,0,0,0,0.02,93.136,59.36328125,0.021474,,0.0
5,ca_ztcf,20260926,0.45736,0.546059,4.18,0.02126,0.021848,,,0,0,5,0,0,0,0.01,46.841,59.36328125,0.021349,,0.0
5,ca_ztcf,20260927,0.4683895,0.52274455,4.138999999999999,0.019033,0.022898,,,0,0,5,0,0,0,0.01,47.792,59.36328125,0.020924,,0.0
5,ca_ztcf,20260928,0.4362685,0.5195133999999999,4.18,0.01794,0.02084,,,0,0,5,0,0,0,0.02,85.514,59.36328125,0.023388,,0.0
5,ca_ztcf,20260929,0.44009149999999997,0.5404436,4.159,0.018738,0.017311,,,0,0,5,0,0,0,0.01,46.832,59.36328125,0.021353,,0.0
5,ca_ztcf,20260930,0.4490995,0.51708155,4.085,0.018509,0.021761,,,0,0,5,0,0,0,0.02,78.653,59.36328125,0.025428,,0.0
5,ca_ztcf,20260931,0.47209,0.58649945,4.3145,0.026388,0.020636,,,0,0,5,0,0,0,0.01,24.29,59.36328125,0.041169,,0.0
5,ca_ztcf,20260932,0.438219,0.50295175,4.2105,0.0178,0.019968,,,0,0,5,0,0,0,0.01,39.568,59.36328125,0.025273,,0.0
5,ca_ztcf,20260933,0.43865699999999996,0.50529795,3.939,0.018551,0.019801,,,0,0,5,0,0,0,0.02,86.453,59.36328125,0.023134,,0.0
5,ca_ztcf,20260934,0.463067,0.5503252999999999,4.2745,0.025221,0.019819,,,0,0,5,0,0,0,0.02,78.604,59.36328125,0.025444,,0.0
5,ca_ztcf,20260935,0.45126449999999996,0.5269039999999999,4.062,0.022073,0.021095,,,0,0,5,0,0,0,0.03,132.614,59.36328125,0.022622,,0.0
5,ca_ztcf,20260936,0.456198,0.49694389999999994,4.253,0.024795,0.019096,,,0,0,5,0,0,0,0.02,78.14,59.36328125,0.025595,,0.0
5,independent,20260907,0.1370725,0.21115095,,0.017604,0.016049,,,5,0,5,0,0,0,0.01,60.92,59.33984375,0.016415,,1.0
5,independent,20260908,0.156252,0.22783009999999998,,0.018486,0.021974,,,5,0,5,0,0,0,0.02,125.078,59.3359375,0.01599,,1.0
5,independent,20260909,0.14072800000000002,0.20880335,,0.02441,0.015461,,,5,0,5,0,0,0,0.01,59.287,59.3359375,0.016867,,1.0
5,independent,20260910,0.1482275,0.21145249999999993,,0.020882,0.022184,,,5,0,5,0,0,0,0.03,107.07,59.3359375,0.028019,,1.0
5,independent,20260911,0.145286,0.21000314999999994,,0.012646,0.013613,,,5,0,5,0,0,0,0.01,49.259,59.3359375,0.020301,,1.0
5,independent,20260912,0.1409795,0.23880024999999994,,0.018529,0.019452,,,5,0,5,0,0,0,0.01,53.961,59.3359375,0.018532,,1.0
5,independent,20260913,0.15066400000000002,0.19095384999999998,,0.023402,0.021637,,,5,0,5,0,0,0,0.01,49.948,59.3359375,0.020021,,1.0
5,independent,20260914,0.14117849999999998,0.20434285,,0.017419,0.016076,,,5,0,5,0,0,0,0.01,54.271,59.3359375,0.018426,,1.0
5,independent,20260915,0.16189199999999998,0.22008324999999995,,0.025772,0.025394,,,5,0,5,0,0,0,0.01,52.918,59.3359375,0.018897,,1.0
5,independent,20260916,0.1474745,0.20431095,,0.017713,0.023883,,,5,0,5,0,0,0,0.01,55.543,59.3359375,0.018004,,1.0
5,independent,20260917,0.129523,0.19866759999999994,,0.01234,0.013924,,,5,0,5,0,0,0,0.01,54.154,59.3359375,0.018466,,1.0
5,independent,20260918,0.1366935,0.21598245,,0.014174,0.020885,,,5,0,5,0,0,0,0.02,119.36,59.3359375,0.016756,,1.0
5,independent,20260919,0.1430505,0.21432805,,0.013757,0.014465,,,5,0,5,0,0,0,0.01,50.927,59.3359375,0.019636,,1.0
5,independent,20260920,0.146511,0.22011174999999994,,0.020052,0.022886,,,5,0,5,0,0,0,0.01,58.889,59.3359375,0.016981,,1.0
5,independent,20260921,0.1444265,0.21038245,,0.017842,0.028056,,,5,0,5,0,0,0,0.01,64.927,59.3359375,0.015402,,1.0
5,independent,20260922,0.171564,0.2227477,,0.029261,0.028705,,,5,0,5,0,0,0,0.01,53.882,59.3359375,0.018559,,1.0
5,independent,20260923,0.1599285,0.21893645,,0.023742,0.030886,,,5,0,5,0,0,0,0.02,118.991,59.3359375,0.016808,,1.0
5,independent,20260924,0.145084,0.21671859999999998,,0.017111,0.021732,,,5,0,5,0,0,0,0.01,49.302,59.3359375,0.020283,,1.0
5,independent,20260925,0.1522485,0.19830644999999997,,0.016812,0.028277,,,5,0,5,0,0,0,0.02,99.91,59.3359375,0.020018,,1.0
5,independent,20260926,0.14352199999999998,0.21480379999999993,,0.022501,0.028704,,,5,0,5,0,0,0,0.01,48.347,59.3359375,0.020684,,1.0
5,independent,20260927,0.142153,0.19913379999999997,,0.016085,0.015401,,,5,0,5,0,0,0,0.02,106.718,59.3359375,0.018741,,1.0
5,independent,20260928,0.145233,0.20859054999999999,,0.017112,0.02494,,,5,0,5,0,0,0,0.01,49.596,59.3359375,0.020163,,1.0
5,independent,20260929,0.1365405,0.2168956,,0.021663,0.019658,,,5,0,5,0,0,0,0.01,52.168,59.3359375,0.019169,,1.0
5,independent,20260930,0.181315,0.26484019999999997,,0.027462,0.03002,,,5,0,5,0,0,0,0.01,45.298,59.3359375,0.022076,,1.0
5,independent,20260931,0.150271,0.23183209999999996,,0.026438,0.028656,,,5,0,5,0,0,0,0.01,54.434,59.3359375,0.018371,,1.0
5,independent,20260932,0.1490765,0.22508889999999998,,0.024007,0.023112,,,5,0,5,0,0,0,0.02,96.386,59.3359375,0.02075,,1.0
5,independent,20260933,0.15325650000000002,0.21553909999999998,,0.023069,0.025755,,,5,0,5,0,0,0,0.01,46.981,59.3359375,0.021285,,1.0
5,independent,20260934,0.15387499999999998,0.2371413999999999,,0.01936,0.021279,,,5,0,5,0,0,0,0.03,103.356,59.3359375,0.029026,,1.0
5,independent,20260935,0.15359699999999998,0.21387834999999994,,0.023751,0.034327,,,5,0,5,0,0,0,0.01,47.461,59.3359375,0.02107,,1.0
5,independent,20260936,0.1481065,0.20592734999999998,,0.020156,0.025387,,,5,0,5,0,0,0,0.01,61.05,59.3359375,0.01638,,1.0
5,static_continuity,20260907,0.153742,0.24739819999999996,,0.03236,0.025216,,,0,0,0,0,0,0,0.02,115.447,59.3359375,0.017324,,0.0
5,static_continuity,20260908,0.15212550000000002,0.22428225,,0.025386,0.024663,,,0,0,0,0,0,0,0.02,113.398,59.3359375,0.017637,,0.0
5,static_continuity,20260909,0.1563565,0.21686650000000002,,0.027257,0.020241,,,0,0,0,0,0,0,0.01,52.684,59.3359375,0.018981,,0.0
5,static_continuity,20260910,0.1486385,0.21245699999999998,,0.017987,0.027895,,,0,0,0,0,0,0,0.01,54.312,59.3359375,0.018412,,0.0
5,static_continuity,20260911,0.1567185,0.22691645,,0.027385,0.020836,,,0,0,0,0,0,0,0.01,45.827,59.3359375,0.021821,,0.0
5,static_continuity,20260912,0.1438125,0.20266824999999997,,0.019603,0.026492,,,0,0,0,0,0,0,0.01,49.251,59.3359375,0.020304,,0.0
5,static_continuity,20260913,0.135866,0.22118019999999994,,0.019216,0.025366,,,0,0,0,0,0,0,0.01,47.353,59.3359375,0.021118,,0.0
5,static_continuity,20260914,0.17164649999999998,0.2480884,,0.023839,0.021591,,,0,0,0,0,0,0,0.01,48.295,59.3359375,0.020706,,0.0
5,static_continuity,20260915,0.155103,0.22074344999999998,,0.018155,0.023499,,,0,0,0,0,0,0,0.01,52.466,59.3359375,0.01906,,0.0
5,static_continuity,20260916,0.150331,0.21304214999999999,,0.026299,0.019767,,,0,0,0,0,0,0,0.01,56.465,59.3359375,0.01771,,0.0
5,static_continuity,20260917,0.1548485,0.23036999999999996,,0.017604,0.029311,,,0,0,0,0,0,0,0.01,59.945,59.3359375,0.016682,,0.0
5,static_continuity,20260918,0.1438835,0.24394429999999998,,0.022057,0.024475,,,0,0,0,0,0,0,0.01,48.079,59.3359375,0.020799,,0.0
5,static_continuity,20260919,0.152261,0.21120145,,0.020954,0.023075,,,0,0,0,0,0,0,0.02,89.859,59.3359375,0.022257,,0.0
5,static_continuity,20260920,0.1416895,0.24307079999999992,,0.022729,0.020867,,,0,0,0,0,0,0,0.01,53.399,59.3359375,0.018727,,0.0
5,static_continuity,20260921,0.1585565,0.21890244999999997,,0.025947,0.02383,,,0,0,0,0,0,0,0.01,55.371,59.3359375,0.01806,,0.0
5,static_continuity,20260922,0.1637,0.20894364999999998,,0.024381,0.023745,,,0,0,0,0,0,0,0.01,54.251,59.3359375,0.018433,,0.0
